,INCI,Affinity,Affinity_cap,Cap-Apo
0,alaninylalanine,-5.6,-5.5,0.09999999999999964
1,alaninylarginine,-6.8,-7.2,-0.40000000000000036
2,alaninylasparagine,-6.3,-6.3,0.0
3,alaninylaspartic_acid,-5.7,-5.8,-0.09999999999999964
4,alaninylcysteine,-5.1,-5.2,-0.10000000000000053
5,alaninylglutamic_acid,-6.2,-6.2,0.0
6,alaninylglutamine,-6.6,-6.4,0.1999999999999993
7,alaninylglycine,-5.4,-5.2,0.20000000000000018
8,alaninylhistidine,-6.4,-5.9,0.5
9,alaninylisoleucine,-5.9,-6.1,-0.1999999999999993
10,alaninylleucine,-6.3,-6.1,0.20000000000000018
11,alaninyllysine,-5.9,-6.1,-0.1999999999999993
12,alaninylmethionine,-5.8,-5.4,0.39999999999999947
13,alaninylornithine,-5.9,-5.7,0.20000000000000018
14,alaninylphenylalanine,-7.9,-7.8,0.10000000000000053
15,alaninylphosphoserine,-6.6,-6.5,0.09999999999999964
16,alaninylphosphotyrosine,-7.6,-7.5,0.09999999999999964
17,alaninylproline,-6.2,-5.6,0.6000000000000005
18,alaninylselenocysteine,-5.2,-5.2,0.0
19,alaninylselenomethionine,-5.8,-5.4,0.39999999999999947
20,alaninylserine,-5.1,-5.3,-0.20000000000000018
21,alaninylthreonine,-5.9,-6.0,-0.09999999999999964
22,alaninyltryptophan,-6.9,-7.5,-0.5999999999999996
23,alaninyltyrosine,-7.9,-7.8,0.10000000000000053
24,alaninylvaline,-6.1,-6.0,0.09999999999999964
25,argininylalanine,-7.6,-7.5,0.09999999999999964
26,argininylarginine,-7.7,-7.1,0.6000000000000005
27,argininylasparagine,-7.4,-7.3,0.10000000000000053
28,argininylaspartic_acid,-6.8,-6.7,0.09999999999999964
29,argininylcysteine,-7.0,-6.2,0.7999999999999998
30,argininylglutamic_acid,-7.5,-7.0,0.5
31,argininylglutamine,-7.1,-7.0,0.09999999999999964
32,argininylglycine,-7.2,-6.5,0.7000000000000002
33,argininylhistidine,-7.4,-7.2,0.20000000000000018
34,argininylisoleucine,-6.8,-6.4,0.39999999999999947
35,argininylleucine,-7.1,-7.0,0.09999999999999964
36,argininyllysine,-7.0,-6.5,0.5
37,argininylmethionine,-6.8,-6.3,0.5
38,argininylornithine,-7.4,-6.7,0.7000000000000002
39,argininylphenylalanine,-8.2,-7.6,0.5999999999999996
40,argininylphosphoserine,-7.6,-6.6,1.0
41,argininylphosphotyrosine,-7.8,-8.6,-0.7999999999999998
42,argininylproline,-7.7,-6.7,1.0
43,argininylselenocysteine,-6.8,-6.3,0.5
44,argininylselenomethionine,-6.7,-6.7,0.0
45,argininylserine,-7.2,-6.5,0.7000000000000002
46,argininylthreonine,-7.3,-7.0,0.2999999999999998
47,argininyltryptophan,-7.8,-7.7,0.09999999999999964
48,argininyltyrosine,-8.2,-8.0,0.1999999999999993
49,argininylvaline,-7.0,-6.9,0.09999999999999964
50,asparaginylalanine,-6.4,-6.3,0.10000000000000053
51,asparaginylarginine,-7.5,-7.1,0.40000000000000036
52,asparaginylasparagine,-6.3,-6.4,-0.10000000000000053
53,asparaginylaspartic_acid,-6.4,-6.5,-0.09999999999999964
54,asparaginylcysteine,-5.8,-5.6,0.20000000000000018
55,asparaginylglutamic_acid,-6.8,-6.5,0.2999999999999998
56,asparaginylglutamine,-6.9,-6.3,0.6000000000000005
57,asparaginylglycine,-6.4,-6.0,0.40000000000000036
58,asparaginylhistidine,-6.7,-7.1,-0.39999999999999947
59,asparaginylisoleucine,-6.7,-6.6,0.10000000000000053
60,asparaginylleucine,-6.1,-6.3,-0.20000000000000018
61,asparaginyllysine,-6.5,-6.3,0.20000000000000018
62,asparaginylmethionine,-6.1,-5.8,0.2999999999999998
63,asparaginylornithine,-6.4,-6.3,0.10000000000000053
64,asparaginylphenylalanine,-7.8,-6.5,1.2999999999999998
65,asparaginylphosphoserine,-7.0,-7.0,0.0
66,asparaginylphosphotyrosine,-7.8,-8.0,-0.20000000000000018
67,asparaginylproline,-6.8,-6.8,0.0
68,asparaginylselenocysteine,-5.9,-5.6,0.3000000000000007
69,asparaginylselenomethionine,-5.9,-6.0,-0.09999999999999964
70,asparaginylserine,-6.4,-6.3,0.10000000000000053
71,asparaginylthreonine,-6.5,-6.5,0.0
72,asparaginyltryptophan,-7.8,-7.9,-0.10000000000000053
73,asparaginyltyrosine,-7.1,-6.9,0.1999999999999993
74,asparaginylvaline,-6.5,-6.4,0.09999999999999964
75,aspartylalanine,-6.0,-6.0,0.0
76,aspartylarginine,-7.6,-6.9,0.6999999999999993
77,aspartylasparagine,-6.2,-6.4,-0.20000000000000018
78,aspartylaspartic_acid,-6.4,-6.3,0.10000000000000053
79,aspartylcysteine,-5.5,-5.3,0.20000000000000018
80,aspartylglutamic_acid,-6.7,-6.4,0.2999999999999998
81,aspartylglutamine,-6.9,-6.6,0.3000000000000007
82,aspartylglycine,-6.0,-5.5,0.5
83,aspartylhistidine,-7.1,-6.7,0.39999999999999947
84,aspartylisoleucine,-6.3,-6.0,0.2999999999999998
85,aspartylleucine,-6.7,-6.6,0.10000000000000053
86,aspartyllysine,-6.1,-6.4,-0.3000000000000007
87,aspartylmethionine,-6.1,-5.5,0.5999999999999996
88,aspartylornithine,-5.8,-6.3,-0.5
89,aspartylphenylalanine,-6.1,-7.2,-1.1000000000000005
90,aspartylphosphoserine,-6.7,-5.8,0.9000000000000004
91,aspartylphosphotyrosine,-7.8,-7.6,0.20000000000000018
92,aspartylproline,-6.2,-5.8,0.40000000000000036
93,aspartylselenocysteine,-5.6,-5.3,0.2999999999999998
94,aspartylselenomethionine,-5.7,-5.9,-0.20000000000000018
95,aspartylserine,-6.2,-6.1,0.10000000000000053
96,aspartylthreonine,-6.4,-6.4,0.0
97,aspartyltryptophan,-7.4,-7.6,-0.1999999999999993
98,aspartyltyrosine,-7.6,-7.5,0.09999999999999964
99,aspartylvaline,-6.2,-6.3,-0.09999999999999964
100,cysteinylalanine,-5.5,-5.3,0.20000000000000018
101,cysteinylarginine,-7.0,-5.6,1.4000000000000004
102,cysteinylasparagine,-5.7,-6.0,-0.2999999999999998
103,cysteinylaspartic_acid,-5.4,-5.7,-0.2999999999999998
104,cysteinylcysteine,-5.0,-5.0,0.0
105,cysteinylglutamic_acid,-6.0,-6.1,-0.09999999999999964
106,cysteinylglutamine,-6.2,-6.2,0.0
107,cysteinylglycine,-5.3,-5.0,0.2999999999999998
108,cysteinylhistidine,-6.0,-5.8,0.20000000000000018
109,cysteinylisoleucine,-4.9,-5.6,-0.6999999999999993
110,cysteinylleucine,-6.0,-5.9,0.09999999999999964
111,cysteinyllysine,-5.9,-5.8,0.10000000000000053
112,cysteinylmethionine,-5.5,-5.1,0.40000000000000036
113,cysteinylornithine,-5.5,-4.9,0.5999999999999996
