,INCI,SMILES
0,Benzethonium Chloride,CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCOCC[N+](C)(C)CC2=CC=CC=C2.[Cl-]
1,Leuconostoc/Salix Alba (Willow) Bark Extract Ferment Filtrate,
2,Urtica Dioica (Nettle) Extract,
3,Hexapeptide-11,CC(C)C(C(=O)NC(C)C(=O)N1CCCC1C(=O)NC(CC2=CC=CC=C2)C(=O)N3CCCC3C(=O)O)NC(=O)C(CC4=CC=CC=C4)N
4,Prunus Armeniaca (Apricot) Fruit Extract,
5,Betula Alba Leaf Extract,
6,Arginine HCl,C(CC(C(=O)O)N)CN=C(N)N.Cl
7,Isosorbide,C1C(C2C(O1)C(CO2)O)O
8,Bis-Ethylhexyloxyphenol Methoxyphenyl Triazine,CCCCC(CC)COC1=CC(=C(C=C1)C2=NC(=NC(=N2)C3=CC=C(C=C3)OC)C4=C(C=C(C=C4)OCC(CC)CCCC)O)O
9,Sodium Lauroyl Glutamate,"CCCCCCCCCCCC(=O)NC(CCC(=O)O)C(=O)[O-].[Na+]
CCCCCCCCCCCC(=O)NC(CCC(=O)[O-])C(=O)[O-].[Na+].[Na+]
CCCCCCCCCCCC(=O)NC(CCC(=O)O)C(=O)O.[Na]
[H+].CCCCCCCCCCCC(=O)NC(CCC(=O)[O-])C(=O)[O-].[Na+]"
10,Psicose,C1C(C(C(C(O1)(CO)O)O)O)O
11,Hydroxyethylcellulose,CC(COCC1C(C(C(C(O1)OC2C(OC(C(C2OCC(C)O)OCC(C)O)OCC(C)O)COCC(C)O)OCC(C)O)OCC(C)O)OCC(C)O)O
12,Passiflora Edulis Fruit Juice,
13,Scutellaria Alpina Flower/Leaf/Stem Extract,
14,Shea Butteramidopropyl Betaine,
15,Ozokerite,CC1C(=O)C(CC2C1(CCC3C2(CCC4(C3(CCC5(C4CC(CC5)(C)C)C)C)C)C)C)O
16,Hydrogenated Coco-Glycerides,
17,Centella Asiatica Extract,
18,Annona Cherimola Fruit Extract,
19,Sodium Carrageenan,
20,Cetyl Ethylhexanoate,CCCCCCCCCCCCCCCCOC(=O)C(CC)CCCC
21,Calcium Alginate,C1(C(C(OC(C1O)OC2C(C(C(OC2C(=O)O)OC3C(C(C(OC3C(=O)[O-])O)O)O)O)O)C(=O)[O-])O)O.[Ca+2]
22,Cellulose Acetate Propionate,CCC(=O)OCC1C(C(C(C(O1)OC(=O)CC)OC(=O)CC)OC(=O)CC)OC2C(C(C(C(O2)COC(=O)CC)OC(=O)CC)OC(=O)CC)OC(=O)CC.CC(=O)OCC1C(C(C(C(O1)OC(=O)C)OC(=O)C)OC(=O)C)OC2C(C(C(C(O2)COC(=O)C)OC(=O)C)OC(=O)C)OC(=O)C.C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O
23,Pyridoxine Dipalmitate,CCCCCCCCCCCCCCCC(=O)OCC1=CN=C(C(=C1COC(=O)CCCCCCCCCCCCCCC)O)C
24,Sodium Hydroxymethylglycinate,C(C(=O)[O-])NCO.[Na+]
25,Methylcellulose,"COCC1C(C(C(C(O1)OC2C(OC(C(C2OC)OC)OC)COC)OC)OC)OC
COCC1C(C(C(C(O1)OC2C(OC(C(C2OC)OC)OC)COC)OC)OC)OC"
26,Oxothiazolidinecarboxylic Acid,C1C(NC(=O)S1)C(=O)O
27,Octyldodecanol,CCCCCCCCCCC(CCCCCCCC)CO
28,PPG-30,
29,CI 16255,C1=CC=C2C(=C1)C(=CC=C2S(=O)(=O)[O-])N=NC3=C(C=CC4=CC(=CC(=C43)S(=O)(=O)[O-])S(=O)(=O)[O-])O.[Na+].[Na+].[Na+]
